intensity_in R_out G_out B_out
3.294117647058823484e-01 6.036573634590129966e-01 5.739440431835514111e-01 6.295902019772257052e-01
3.333333333333333148e-01 6.069133665239948572e-01 5.773502691896257311e-01 6.327023932244929538e-01
3.372549019607843368e-01 6.101485417389483912e-01 5.807365168135928402e-01 6.357932987849425066e-01
3.411764705882353033e-01 6.133632622211155905e-01 5.841031335203016317e-01 6.388633092377815625e-01
3.450980392156862697e-01 6.165578902045290022e-01 5.874504568180080044e-01 6.419128036026587880e-01
3.490196078431372362e-01 6.197327774771650422e-01 5.907788146532823026e-01 6.449421498088439009e-01
3.529411764705882026e-01 6.228882657958367819e-01 5.940885257860045732e-01 6.479517051403230754e-01
3.568627450980392246e-01 6.260246872801945583e-01 5.973799001456604474e-01 6.509418166582978671e-01
3.607843137254901911e-01 6.291423647871028368e-01 6.006532391700640794e-01 6.539128216024717721e-01
3.647058823529411575e-01 6.322416122665740490e-01 6.039088361275575245e-01 6.568650477724062853e-01
3.686274509803921795e-01 6.353227351003549739e-01 6.071469764236598898e-01 6.597988138901395017e-01
3.725490196078431460e-01 6.383860304241862904e-01 6.103679378930737531e-01 6.627144299451772635e-01
3.764705882352941124e-01 6.414317874346865400e-01 6.135719910778963948e-01 6.656121975228904697e-01
3.803921568627450789e-01 6.444602876817455694e-01 6.167593994928208812e-01 6.684924101172794453e-01
3.843137254901960453e-01 6.474718053472531265e-01 6.199304198780666297e-01 6.713553534290025437e-01
3.882352941176470673e-01 6.504666075109355461e-01 6.230853024407227991e-01 6.742013056495084200e-01
3.921568627450980338e-01 6.534449544040180635e-01 6.262242910851494315e-01 6.770305377320500195e-01
3.960784313725490002e-01 6.564070996513892142e-01 6.293476236330355356e-01 6.798433136503132523e-01
4.000000000000000222e-01 6.593532905028939295e-01 6.324555320336758824e-01 6.826398906453424731e-01
4.039215686274509887e-01 6.622837680543471883e-01 6.355482425649928713e-01 6.854205194614009233e-01
4.078431372549019551e-01 6.651987674588192290e-01 6.386259760257970708e-01 6.881854445713643242e-01
4.117647058823529216e-01 6.680985181287092400e-01 6.416889479197478430e-01 6.909349043922097255e-01
4.156862745098038880e-01 6.709832439290940309e-01 6.447373686314481489e-01 6.936691314911224149e-01
4.196078431372549100e-01 6.738531633628062067e-01 6.477714435950807648e-01 6.963883527827150477e-01
4.235294117647058765e-01 6.767084897476691729e-01 6.507913734559684915e-01 6.990927897178222938e-01
4.274509803921568429e-01 6.795494313862919800e-01 6.537973542254180703e-01 7.017826584643029886e-01
4.313725490196078649e-01 6.823761917287999301e-01 6.567895774291853117e-01 7.044581700802611257e-01
4.352941176470588314e-01 6.851889695288568838e-01 6.597682302498800722e-01 7.071195306800669433e-01
4.392156862745097978e-01 6.879879589933149964e-01 6.627334956636111718e-01 7.097669415935410342e-01
